variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
844954,0,842010,,
844955,0,839822,,
844956,0,,,
844957,0,842010,,
844958,0,842010,,
844959,0,839822,,
844963,0,,,
844964,0,842010,,
844965,0,839822,,
844967,0,,,
844968,0,842010,,
844969,0,,,
844972,0,839822,,
844973,0,,,
844974,0,,,
844975,0,,,
844976,0,839822,,
844977,0,839822,,
844982,0,,,
844986,1,,,
845044,1,,,
845045,1,,,
845046,1,,,
845047,1,,,
845048,1,,,
845049,1,,,
845050,1,,,
845051,1,,,
845053,1,,,
845056,1,,,
845058,1,,,
845059,1,,,
845061,1,,,
845064,0,842010,,
845065,0,,,
845069,0,839822,,
845070,0,,,
845071,0,,,
845076,0,,,
845077,0,839822,,
845079,0,,,
845080,0,,,
845084,0,,,
845085,0,839822,,
845087,0,839822,,
845088,0,,,
845089,0,,,
845090,0,839822,,
845091,0,842010,,
845092,0,,,
845093,0,,,
845094,0,842010,,
845100,0,,,
845103,0,839822,,
845109,0,,,
845117,0,842010,,
845120,0,,,
845121,0,842010,,
845122,0,,,
845123,0,,,
845124,0,842010,,
845125,0,842010,,
845127,0,842010,,
845128,0,,,
845129,0,,,
845135,0,842010,,
845143,1,,,
845151,0,,,
845152,0,,,
845161,1,,,
845162,1,,,
845164,1,,,
845165,1,,,
845166,1,,,
845167,1,,,
845168,1,,,
845169,1,,,
845171,1,,,
845173,1,,,
845174,1,,,
845175,1,,,
845177,0,839822,,
845178,0,839822,,
845180,0,842010,,
845181,0,839822,,
845182,0,842010,,
845183,0,839822,,
845184,0,842010,,
845185,0,,,
845186,0,842010,,
845187,0,842010,,
845188,0,839822,,
845189,0,842010,,
845190,0,839822,,
845191,0,839822,,
845192,0,839822,,
845193,0,842010,,
845197,0,839822,,
845198,0,839822,,
845199,0,842010,,
845200,0,842010,,
845201,0,842010,,
845202,0,842010,,
845203,0,842010,,
845204,0,839822,,
845205,0,839822,,
845206,0,842010,,
845207,0,839822,,
845208,0,842010,,
845209,0,842010,,
845211,0,839822,,
845212,0,842010,,
845213,0,839822,,
845214,0,842010,,
845218,0,842010,,
845219,0,839822,,
845220,0,842010,,
845221,0,839822,,
845222,0,839822,,
845227,0,842010,,
845228,0,842010,,
845230,0,842010,,
845231,0,839822,,
845232,0,842010,,
845233,0,839822,,
845234,0,839822,,
845235,0,839822,,
845236,0,842010,,
845237,0,842010,,
845238,0,839822,,
845241,1,,,
845242,1,,,
845243,1,,,
845244,1,,,
845245,1,,,
845246,1,,,
845247,1,,,
845248,1,,,
845249,1,,,
845250,1,,,
845251,1,,,
845252,1,,,
845253,1,,,
845255,1,,,
845256,1,,,
845257,1,,,
845260,1,,,
845261,1,,,
845265,0,,,
845266,0,,,
845267,0,842010,,
845268,0,839822,,
845270,0,842010,,
845271,0,842010,,
845272,0,839822,,
845273,0,839822,,
845274,0,,,
845275,0,,,
845276,0,842010,,
845277,0,,,
845279,0,842010,,
845280,0,,,
845281,0,839822,,
845284,0,,,
845285,0,839822,,
845287,0,,,
845289,0,,,
845291,0,,,
845292,0,839822,,
845297,0,839822,,
845298,0,842010,,
845300,0,,,
845301,0,839822,,
845302,0,,,
845303,0,,,
845304,0,,,
845305,0,,,
845306,0,842010,,
845310,0,,,
845311,0,,,
845312,0,,,
845313,0,842010,,
845315,0,,,
845316,0,842010,,
845317,0,,,
845318,0,,,
845319,0,,,
845320,0,842010,,
845321,0,,,
845324,0,,,
845325,0,839822,,
845326,0,,,
845327,0,842010,,
845328,0,,,
845329,0,,,
845330,0,842010,,
845331,0,,,
845332,0,842010,,
845333,0,,,
845336,0,,,
845337,0,839822,,
845338,0,842010,,
845347,1,,,
845349,0,,,
845379,1,,,
845386,1,,,
845387,1,,,
845388,1,,,
845389,1,,,
845390,0,,,
845391,0,,,
845392,0,,,
845393,0,,,
845395,0,,,
845407,0,842010,,
845408,0,842010,,
845415,1,839822,,
845416,0,,,
845417,0,,,
845418,0,,,
845419,0,,,
845423,1,,,
845424,1,,,
845425,1,,,
845426,1,,,
845427,1,,,
845428,1,,,
845429,1,,,
845430,0,,,
845431,0,,,
845432,0,,,
845434,0,,,
845435,0,,,
845437,0,,,
845438,0,,,
845439,0,,,
845440,0,,,
845441,0,,,
845442,0,,,
845443,0,,,
845444,0,,,
845446,0,,,
845451,0,,,
845453,0,,,
845454,0,,,
845456,0,,,
845457,0,,,
845458,0,,,
845460,0,,,
845461,0,,,
845463,0,,,
845465,0,,,
845466,0,,,
845467,0,,,
845469,0,,,
845470,0,,,
845471,0,,,
845472,0,,,
845473,0,,,
845483,1,,,
845485,1,,,
845489,1,,,
845495,1,,,
845496,1,,,
845499,1,,,
845500,1,,,
845507,0,842010,,
845508,0,842010,,
845511,0,842010,,
845519,0,839822,,
845520,0,839822,,
845521,0,842010,,
845524,0,842010,,
845530,0,,,
845535,0,842010,,
845542,0,842010,,
845543,0,842010,,
845544,0,842010,,
845564,0,842010,,
845566,0,839822,,
845567,0,842010,,
845582,0,839822,,
845593,1,,,
845595,1,,,
845596,1,,,
845601,0,842010,,
845602,0,839822,,
845603,0,,,
845604,0,,,
845605,0,839822,,
845606,0,839822,,
845607,0,842010,,
845622,1,,,
845623,1,,,
845624,1,,,
845625,1,,,
845626,1,,,
845627,1,,,
845628,1,,,
845629,1,,,
845630,1,,,
845631,0,,,
845632,0,,,
845633,0,,,
845634,0,839822,,
845635,0,839822,,
845636,0,842010,,
845637,0,842010,,
845638,0,,,
845639,0,,,
845640,0,,,
845641,0,839822,,
845642,0,,,
845643,0,,,
845644,0,,,
845647,0,,,
845649,0,,,
845650,0,,,
845651,0,839822,,
845652,0,,,
845654,0,,,
845655,1,,,
845656,1,,,
845657,1,,,
845658,1,,,
845659,1,,,
845660,1,,,
845661,1,,,
845662,0,839822,,
845663,0,839822,,
845664,0,839822,,
845665,0,842010,,
845666,0,842010,,
845667,0,842010,,
845668,0,842010,,
845669,0,842010,,
845670,0,839822,,
845671,0,839822,,
845672,0,839822,,
845673,0,842010,,
845674,0,842010,,
845675,0,842010,,
845676,0,839822,,
845677,0,839822,,
845678,0,839822,,
845679,0,842010,,
845680,0,839822,,
845681,0,839822,,
845682,0,,,
845683,0,839822,,
845684,0,839822,,
845685,0,839822,,
845686,0,842010,,
845687,0,842010,,
845688,0,842010,,
845689,0,842010,,
845690,0,839822,,
845691,0,839822,,
845692,0,839822,,
