variant_id,stop_id
842155,5288
842155,271
842155,2863
842156,284
842156,2861
842156,1149
842156,1865
842156,5274
842156,1759
842156,1251
842157,5297
842157,4571
842157,3517
842190,3899
842190,1819
842190,2815
842190,317
842190,281
842190,3934
842200,2274
842200,3415
842200,2828
842200,603
842200,4892
842200,1330
842200,2815
842249,2342
842249,2861
842249,1149
842262,5296
842262,271
842262,281
842263,2342
842265,3517
842265,3518
842265,1218
842265,3894
842265,4138
842265,4123
842265,4375
842266,4376
842266,4125
842266,4137
842266,4122
842266,3906
842266,3514
842266,3519
842282,1901
842305,3422
842316,212
842316,3547
842316,5288
842320,5274
842320,1759
842320,211
842320,240
842325,5274
842325,1759
842325,1142
842341,3134
842341,468
842341,5423
842341,3514
842341,317
842341,281
842341,403
842341,3256
842342,3134
842342,468
842342,5423
842342,3514
842342,317
842342,281
842342,403
842342,5439
842343,3134
842343,468
842343,5423
842343,3514
842343,317
842343,281
842343,403
842343,5439
842343,3256
842361,304
842361,2531
842361,5167
842361,5155
842362,3901
842388,812
842388,403
842421,2855
842421,1174
842421,1142
842421,2172
842421,675
842421,5108
842422,3890
842422,480
842422,2527
842423,5109
842426,2172
842426,675
842426,5108
842428,3901
842428,281
842446,3899
842446,604
842446,708
842446,711
842446,3421
842446,2305
842446,2871
842450,284
842450,2861
842450,1149
842450,5297
842457,2899
842457,55
842457,5440
842457,2274
842457,2304
842457,3415
842457,2828
842457,707
842480,26
842480,1330
842480,3517
842480,508
842509,509
842509,3526
842509,546
842509,613
842509,3895
842527,3514
842527,396
842529,864
842529,3901
842532,1215
842532,481
842540,1215
842540,481
842547,3422
842548,2899
842548,3422
842579,1233
842579,5459
842579,509
842584,575
842584,977
842584,2028
842584,1330
842584,3517
842584,5459
842584,927
842584,3581
842587,5459
842587,927
842588,927
842619,2935
842619,2506
842619,3422
842619,2013
842619,761
842622,2935
842622,2506
842622,3422
842622,2013
842632,1548
842632,1420
842632,5437
842632,1541
842633,1542
842633,3523
842633,1419
842633,1547
842633,2536
842638,4896
842638,1470
842638,1420
842638,5437
842640,2818
842640,3523
842640,1419
842640,1471
842640,4899
842642,3522
842642,1419
842642,1471
842642,4899
842643,1548
842643,1420
842643,5310
842643,2031
842649,3523
842649,1548
842649,4899
842650,1548
842650,1420
842650,5437
842656,1897
842656,2032
842656,4250
842656,2817
842657,1897
842657,2032
842657,4250
842657,2817
842665,1496
842665,1604
842675,1629
842675,4896
842675,1420
842675,5437
842676,2356
842676,1501
842676,1580
842676,5310
842676,2031
842677,2356
842677,1501
842677,1580
842677,2817
842688,4898
842688,1547
842688,3524
842693,1897
842693,2034
842693,1417
842693,5437
842694,3523
842694,1418
842694,2031
842694,1495
842720,4423
842720,3671
842720,3065
842720,1082
842720,3707
842720,3668
842720,1979
842720,3670
842720,4597
842720,3720
842720,727
842720,3415
842758,2172
842768,1901
842768,604
842768,708
842768,711
842768,3420
842769,1901
842769,604
842769,708
842769,711
842769,3420
842769,2488
842809,83
842809,2482
842809,73
842809,3467
842809,2839
842809,3994
842810,2838
842810,3476
842810,74
842810,1025
842811,2838
842811,3476
842811,74
842811,1025
842812,2838
842812,3476
842812,74
842812,1025
842813,3995
842813,2838
842813,3476
842813,74
842813,1025
842814,3995
842814,2838
842814,3476
842814,74
842814,1025
842816,3995
842816,2838
842816,3476
842816,74
842816,1025
842859,1497
842859,2818
842859,3523
842859,1419
842859,1471
842859,4899
842866,4573
842866,1580
842866,1419
842866,4897
842872,1635
842872,4685
842872,1544
842872,3523
842872,1418
842872,2031
842872,1495
842902,1635
842902,4685
842902,1544
842902,3523
842902,1418
842902,2031
842989,180
842989,5476
